species,flipper_length_mm
Adelie,181
Adelie,186
Adelie,195
Adelie,193
Adelie,190
Adelie,181
Adelie,195
Adelie,193
Adelie,190
Adelie,186
Adelie,180
Adelie,182
Adelie,191
Adelie,198
Adelie,185
Adelie,195
Adelie,197
Adelie,184
Adelie,194
Adelie,174
Adelie,180
Adelie,189
Adelie,185
Adelie,180
Adelie,187
Adelie,183
Adelie,187
Adelie,172
Adelie,180
Adelie,178
Adelie,178
Adelie,188
Adelie,184
Adelie,195
Adelie,196
Adelie,190
Adelie,180
Adelie,181
Adelie,184
Adelie,182
Adelie,195
Adelie,186
Adelie,196
Adelie,185
Adelie,190
Adelie,182
Adelie,179
Adelie,190
Adelie,191
Adelie,186
Adelie,188
Adelie,190
Adelie,200
Adelie,187
Adelie,191
Adelie,186
Adelie,193
Adelie,181
Adelie,194
Adelie,185
Adelie,195
Adelie,185
Adelie,192
Adelie,184
Adelie,192
Adelie,195
Adelie,188
Adelie,190
Adelie,198
Adelie,190
Adelie,190
Adelie,196
Adelie,197
Adelie,190
Adelie,195
Adelie,191
Adelie,184
Adelie,187
Adelie,195
Adelie,189
Adelie,196
Adelie,187
Adelie,193
Adelie,191
Adelie,194
Adelie,190
Adelie,189
Adelie,189
Adelie,190
Adelie,202
Adelie,205
Adelie,185
Adelie,186
Adelie,187
Adelie,208
Adelie,190
Adelie,196
Adelie,178
Adelie,192
Adelie,192
Adelie,203
Adelie,183
Adelie,190
Adelie,193
Adelie,184
Adelie,199
Adelie,190
Adelie,181
Adelie,197
Adelie,198
Adelie,191
Adelie,193
Adelie,197
Adelie,191
Adelie,196
Adelie,188
Adelie,199
Adelie,189
Adelie,189
Adelie,187
Adelie,198
Adelie,176
Adelie,202
Adelie,186
Adelie,199
Adelie,191
Adelie,195
Adelie,191
Adelie,210
Adelie,190
Adelie,197
Adelie,193
Adelie,199
Adelie,187
Adelie,190
Adelie,191
Adelie,200
Adelie,185
Adelie,193
Adelie,193
Adelie,187
Adelie,188
Adelie,190
Adelie,192
Adelie,185
Adelie,190
Adelie,184
Adelie,195
Adelie,193
Adelie,187
Adelie,201
Gentoo,211
Gentoo,230
Gentoo,210
Gentoo,218
Gentoo,215
Gentoo,210
Gentoo,211
Gentoo,219
Gentoo,209
Gentoo,215
Gentoo,214
Gentoo,216
Gentoo,214
Gentoo,213
Gentoo,210
Gentoo,217
Gentoo,210
Gentoo,221
Gentoo,209
Gentoo,222
Gentoo,218
Gentoo,215
Gentoo,213
Gentoo,215
Gentoo,215
Gentoo,215
Gentoo,216
Gentoo,215
Gentoo,210
Gentoo,220
Gentoo,222
Gentoo,209
Gentoo,207
Gentoo,230
Gentoo,220
Gentoo,220
Gentoo,213
Gentoo,219
Gentoo,208
Gentoo,208
Gentoo,208
Gentoo,225
Gentoo,210
Gentoo,216
Gentoo,222
Gentoo,217
Gentoo,210
Gentoo,225
Gentoo,213
Gentoo,215
Gentoo,210
Gentoo,220
Gentoo,210
Gentoo,225
Gentoo,217
Gentoo,220
Gentoo,208
Gentoo,220
Gentoo,208
Gentoo,224
Gentoo,208
Gentoo,221
Gentoo,214
Gentoo,231
Gentoo,219
Gentoo,230
Gentoo,214
Gentoo,229
Gentoo,220
Gentoo,223
Gentoo,216
Gentoo,221
Gentoo,221
Gentoo,217
Gentoo,216
Gentoo,230
Gentoo,209
Gentoo,220
Gentoo,215
Gentoo,223
Gentoo,212
Gentoo,221
Gentoo,212
Gentoo,224
Gentoo,212
Gentoo,228
Gentoo,218
Gentoo,218
Gentoo,212
Gentoo,230
Gentoo,218
Gentoo,228
Gentoo,212
Gentoo,224
Gentoo,214
Gentoo,226
Gentoo,216
Gentoo,222
Gentoo,203
Gentoo,225
Gentoo,219
Gentoo,228
Gentoo,215
Gentoo,228
Gentoo,216
Gentoo,215
Gentoo,210
Gentoo,219
Gentoo,208
Gentoo,209
Gentoo,216
Gentoo,229
Gentoo,213
Gentoo,230
Gentoo,217
Gentoo,230
Gentoo,217
Gentoo,222
Gentoo,214
Gentoo,215
Gentoo,222
Gentoo,212
Gentoo,213
Chinstrap,192
Chinstrap,196
Chinstrap,193
Chinstrap,188
Chinstrap,197
Chinstrap,198
Chinstrap,178
Chinstrap,197
Chinstrap,195
Chinstrap,198
Chinstrap,193
Chinstrap,194
Chinstrap,185
Chinstrap,201
Chinstrap,190
Chinstrap,201
Chinstrap,197
Chinstrap,181
Chinstrap,190
Chinstrap,195
Chinstrap,181
Chinstrap,191
Chinstrap,187
Chinstrap,193
Chinstrap,195
Chinstrap,197
Chinstrap,200
Chinstrap,200
Chinstrap,191
Chinstrap,205
Chinstrap,187
Chinstrap,201
Chinstrap,187
Chinstrap,203
Chinstrap,195
Chinstrap,199
Chinstrap,195
Chinstrap,210
Chinstrap,192
Chinstrap,205
Chinstrap,210
Chinstrap,187
Chinstrap,196
Chinstrap,196
Chinstrap,196
Chinstrap,201
Chinstrap,190
Chinstrap,212
Chinstrap,187
Chinstrap,198
Chinstrap,199
Chinstrap,201
Chinstrap,193
Chinstrap,203
Chinstrap,187
Chinstrap,197
Chinstrap,191
Chinstrap,203
Chinstrap,202
Chinstrap,194
Chinstrap,206
Chinstrap,189
Chinstrap,195
Chinstrap,207
Chinstrap,202
Chinstrap,193
Chinstrap,210
Chinstrap,198
